,Period,Correlation,Ticker1,Ticker2,20d_Volume1,20d_Volume2,close_SD1,close_SD2,Sector1_basic-materials,Sector1_communication-services,Sector1_consumer-cyclical,Sector1_consumer-defensive,Sector1_energy,Sector1_financial-services,Sector1_healthcare,Sector1_industrials,Sector1_real-estate,Sector1_technology,Sector1_utilities,Sector2_basic-materials,Sector2_communication-services,Sector2_consumer-cyclical,Sector2_consumer-defensive,Sector2_energy,Sector2_financial-services,Sector2_healthcare,Sector2_industrials,Sector2_real-estate,Sector2_technology,Sector2_utilities
85,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.10707536342699926,CMG,CMI,19678060.0,1028455.0,1.8904393461567883,4.663715021479968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.18530219466885386,CMI,CMS,1028455.0,2548785.0,4.663715021479968,1.2258160942945557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.8263679632513707,CMS,CNC,2548785.0,3850040.0,1.2258160942945557,1.3367937838534798,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
88,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.46924767086631414,CNC,CNP,3850040.0,5187025.0,1.3367937838534798,0.46799879208448636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.025633287374797958,CNP,COF,5187025.0,2281125.0,0.46799879208448636,1.692937606182123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
90,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.12679015780217323,COF,COO,2281125.0,1332415.0,1.692937606182123,2.1332672700624182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.215248744428028,COO,COP,1332415.0,8029040.0,2.1332672700624182,1.9547129359363158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.6375970028495765,COP,COST,8029040.0,2003775.0,1.9547129359363158,18.31794012078279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.8092317992670337,COST,COTY,2003775.0,3663240.0,18.31794012078279,0.1575585469740206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.0029309619166552514,COTY,CPB,3663240.0,3540225.0,0.1575585469740206,0.8380776660235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
